Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Label
2024-02-12 23:00:10.062,9.5744,-0.577,2.1356,56,False,faceLeft
2024-02-12 23:00:10.078,9.5864,-0.6871,2.0686,56,False,faceLeft
2024-02-12 23:00:10.088,9.572,-0.5866,2.1141,56,False,faceLeft
2024-02-12 23:00:10.186,9.5529,-0.6512,2.0997,56,False,faceLeft
2024-02-12 23:00:10.350,9.5864,-0.6584,2.1548,56,False,faceLeft
2024-02-12 23:00:10.510,9.6031,-0.6273,2.047,56,False,faceLeft
2024-02-12 23:00:18.770,9.6031,-0.7015,2.047,56,False,faceLeft
2024-02-12 23:00:18.779,9.5457,-0.7039,2.059,56,False,faceLeft
2024-02-12 23:00:18.884,9.5481,-0.5914,2.1189,56,False,faceLeft
2024-02-12 23:00:19.046,9.5648,-0.5483,2.1069,56,False,faceLeft
2024-02-12 23:00:19.204,9.6175,-0.6201,2.0949,56,False,faceLeft
2024-02-12 23:00:30.029,9.584,-0.6177,2.1141,56,False,faceLeft
2024-02-12 23:00:30.041,9.5864,-0.6871,2.0686,56,False,faceLeft
2024-02-12 23:00:30.140,9.6079,-0.5339,2.0614,56,False,faceLeft
2024-02-12 23:00:30.301,9.5217,-0.4812,2.0925,56,False,faceLeft
2024-02-12 23:00:30.461,9.6247,-0.565,2.0111,56,False,faceLeft
2024-02-12 23:00:37.201,9.6103,-0.565,2.1261,56,False,faceLeft
2024-02-12 23:00:37.211,9.5505,-0.6273,2.071,56,False,faceLeft
2024-02-12 23:00:37.218,9.6391,-0.5746,2.0877,56,False,faceLeft
2024-02-12 23:00:37.380,9.6151,-0.6249,2.1189,56,False,faceLeft
2024-02-12 23:00:37.539,9.5577,-0.7111,1.9968,56,False,faceLeft
2024-02-12 23:00:37.697,9.5457,-0.644,2.0853,56,False,faceLeft
2024-02-12 23:01:28.918,9.596,-0.644,2.0566,56,False,faceLeft
2024-02-12 23:01:29.032,9.5696,-0.5698,2.0758,56,False,faceLeft
2024-02-12 23:01:29.195,9.5792,-0.4932,2.0949,56,False,faceLeft
2024-02-12 23:01:29.356,9.5816,-0.6393,2.0782,56,False,faceLeft
2024-02-12 23:01:32.502,9.572,-0.5339,2.0423,56,False,faceLeft
2024-02-12 23:01:32.512,9.5936,-0.5578,2.083,56,False,faceLeft
2024-02-12 23:01:32.565,9.6175,-0.6105,2.083,56,False,faceLeft
2024-02-12 23:01:32.729,9.5529,-0.5818,2.0877,56,False,faceLeft
2024-02-12 23:01:32.889,9.5744,-0.5746,2.0973,56,False,faceLeft
2024-02-12 23:01:47.961,9.517,-0.6752,2.0662,56,False,faceLeft
2024-02-12 23:01:47.970,9.6319,-0.51,2.0686,56,False,faceLeft
2024-02-12 23:01:48.016,9.6223,-0.5267,2.0542,56,False,faceLeft
2024-02-12 23:01:48.178,9.5361,-0.577,2.1069,56,False,faceLeft
2024-02-12 23:01:48.340,9.5529,-0.6009,2.1189,56,False,faceLeft
2024-02-12 23:01:48.582,9.5888,-0.6656,2.0494,56,False,faceLeft
2024-02-12 23:01:48.655,9.584,-0.6871,2.0997,56,False,faceLeft
2024-02-12 23:01:48.819,9.5074,-0.6752,2.0614,56,False,faceLeft
2024-02-12 23:01:48.978,9.5002,-0.6895,2.0494,56,False,faceLeft
2024-02-12 23:01:49.139,9.5816,-0.6608,2.1308,56,False,faceLeft
2024-02-12 23:01:49.299,9.5648,-0.6105,2.0494,56,False,faceLeft
2024-02-12 23:01:49.458,9.5648,-0.6369,2.0542,56,False,faceLeft
2024-02-12 23:01:49.617,9.6007,-0.6704,2.0997,56,False,faceLeft
2024-02-12 23:01:49.778,9.5577,-0.6057,2.071,56,False,faceLeft
2024-02-12 23:01:49.936,9.5984,-0.577,2.1117,56,False,faceLeft
2024-02-12 23:01:50.096,9.505,-0.577,2.1284,56,False,faceLeft
2024-02-12 23:01:50.258,9.6031,-0.4908,2.1428,56,False,faceLeft
2024-02-12 23:01:50.416,9.5624,-0.6369,2.083,56,False,faceLeft
2024-02-12 23:01:50.575,9.5313,-0.5363,2.1021,56,False,faceLeft
2024-02-12 23:02:08.950,9.56,-0.6201,2.071,56,False,faceLeft
2024-02-12 23:02:08.972,9.5098,-0.5746,2.0877,56,False,faceLeft
