Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?
2024/02/12 12:48:58:469,-8.0661,3.7493,5.5617,97,false
2024/02/12 12:48:58:630,-6.6607,6.9097,5.4612,97,false
2024/02/12 12:48:58:788,-3.2154,5.5569,5.0996,97,false
2024/02/12 12:48:58:948,-1.9609,7.8027,4.9129,97,false
2024/02/12 12:48:59:109,-1.4006,7.9703,4.3646,97,false
2024/02/12 12:48:59:268,-1.7071,8.0014,4.6471,97,false
2024/02/12 12:48:59:430,-1.7526,7.8219,5.5881,97,false
2024/02/12 12:48:59:590,-2.241,8.0349,5.4516,97,false
2024/02/12 12:48:59:749,-2.5331,8.3246,4.8554,97,false
2024/02/12 12:48:59:910,-2.2769,7.8793,4.4293,97,false
2024/02/12 12:49:00:104,-2.4612,6.8043,1.5299,97,false
2024/02/12 12:49:00:231,-7.841,4.9991,-3.6272,97,false
2024/02/12 12:49:00:390,-3.4596,-0.3065,-9.1818,97,false
2024/02/12 12:49:00:551,-0.1197,-1.9537,-9.7947,97,false
2024/02/12 12:49:00:710,0.1987,0.2801,-9.2775,97,false
2024/02/12 12:49:00:871,0.5555,0.2346,-8.7029,97,false
2024/02/12 12:49:01:033,-0.2729,1.5395,-11.3749,97,false
2024/02/12 12:49:01:191,-0.0024,0.5602,-6.0501,97,false
2024/02/12 12:49:01:351,-0.1796,-0.3065,-9.6774,97,false
2024/02/12 12:49:01:512,-0.0335,0.3903,-9.9695,97,false
2024/02/12 12:49:01:671,0.3256,-0.17,-9.9335,97,false
2024/02/12 12:49:01:833,0.158,-0.0503,-9.9072,97,false
2024/02/12 12:49:01:993,0.2155,-0.1293,-9.9168,97,false
2024/02/12 12:49:02:152,0.158,-0.1245,-9.9383,97,false
2024/02/12 12:49:02:312,0.2155,-0.1221,-9.9527,97,false
2024/02/12 12:49:02:473,0.1844,-0.0383,-9.9407,97,false
2024/02/12 12:49:02:634,0.1963,-0.1077,-9.924,97,false
2024/02/12 12:49:02:793,0.2203,-0.0862,-9.9216,97,false
2024/02/12 12:49:02:954,0.249,-0.0646,-10.0413,97,false
2024/02/12 12:49:03:113,0.2059,-0.0575,-9.9024,97,false
2024/02/12 12:49:03:273,0.1077,-0.1077,-9.8904,97,false
2024/02/12 12:49:03:436,0.2059,-0.1676,-9.9168,97,false
2024/02/12 12:49:03:594,0.2227,-0.0838,-9.9719,97,false
2024/02/12 12:49:03:754,0.2274,-0.1221,-9.9647,97,false
2024/02/12 12:49:03:915,0.2179,-0.1317,-10.0245,97,false
2024/02/12 12:49:04:074,0.1844,-0.1317,-9.9814,97,false
2024/02/12 12:49:04:235,0.2298,-0.1006,-10.0293,97,false
2024/02/12 12:49:04:395,0.1867,-0.1101,-9.9647,97,false
2024/02/12 12:49:04:554,0.1628,-0.1077,-10.0509,97,false
2024/02/12 12:49:04:714,0.1341,-0.0551,-10.0173,97,false
2024/02/12 12:49:04:876,0.2346,-0.1245,-9.9886,97,false
2024/02/12 12:49:05:036,0.2155,-0.079,-9.9575,97,false
2024/02/12 12:49:05:195,0.2107,-0.17,-9.9288,97,false
2024/02/12 12:49:05:356,0.2251,-0.1006,-9.8617,97,false
2024/02/12 12:49:05:515,0.1987,-0.0838,-10.0413,97,false
2024/02/12 12:49:05:676,0.1221,-0.1125,-9.9431,97,false
2024/02/12 12:49:05:838,0.2418,-0.067,-10.0054,97,false
2024/02/12 12:49:05:996,0.2322,-0.0599,-9.9982,97,false
2024/02/12 12:49:06:156,0.1724,-0.0311,-10.0413,97,false
2024/02/12 12:49:06:317,0.2586,-0.0766,-9.9383,97,false
2024/02/12 12:49:06:476,0.1939,-0.067,-9.9886,97,false
2024/02/12 12:49:06:638,0.1628,-0.1101,-10.0078,97,false
2024/02/12 12:49:06:798,0.2203,-0.0527,-10.0078,97,false
2024/02/12 12:49:06:957,0.1939,-0.0958,-10.0245,97,false
2024/02/12 12:49:07:117,0.2035,-0.0742,-9.9982,97,false
2024/02/12 12:49:07:278,0.2203,-0.1221,-9.9934,97,false
2024/02/12 12:49:07:439,0.1556,-0.1604,-9.9862,97,false
