Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Usual Walking
2023-10-03 15:20:30.118,9.0046,2.138,2.9544,98,False,0
2023-10-03 15:20:30.277,8.995,2.296,2.9257,98,False,0
2023-10-03 15:20:30.440,8.9519,2.3104,3.0119,98,False,0
2023-10-03 15:20:30.598,8.9495,2.1883,2.9736,98,False,0
2023-10-03 15:20:30.758,8.9615,2.1452,3.0311,98,False,0
2023-10-03 15:20:30.919,9.0644,2.1237,2.8539,98,False,0
2023-10-03 15:20:31.079,8.8992,2.3703,3.0574,98,False,0
2023-10-03 15:20:31.239,8.9495,2.3559,2.9975,98,False,0
2023-10-03 15:20:31.400,9.0477,2.3272,2.6935,98,False,0
2023-10-03 15:20:31.559,9.153,2.2458,2.8994,98,False,0
2023-10-03 15:20:31.719,8.995,2.4469,2.7461,98,False,0
2023-10-03 15:20:31.881,8.916,2.1883,3.0933,98,False,0
2023-10-03 15:20:32.039,9.0094,2.4397,2.8443,98,False,0
2023-10-03 15:20:32.200,9.0214,2.2146,2.8371,98,False,0
2023-10-03 15:20:32.361,8.9447,2.2338,2.8706,98,False,0
2023-10-03 15:20:32.521,9.0022,2.1859,2.9736,98,False,0
2023-10-03 15:20:32.676,8.9016,2.3128,2.8778,98,False,0
2023-10-03 15:20:32.843,8.9759,2.2027,2.7845,98,False,0
2023-10-03 15:20:33.002,9.2105,2.2889,2.6911,98,False,0
2023-10-03 15:20:33.163,9.0094,2.229,2.6624,98,False,0
2023-10-03 15:20:33.323,8.7053,2.1739,2.545,98,False,0
2023-10-03 15:20:33.482,9.2512,2.5115,2.3822,98,False,0
2023-10-03 15:20:33.678,9.6079,3.0382,3.5314,98,False,0
2023-10-03 15:20:33.801,8.0062,4.0438,3.7254,98,False,0
2023-10-03 15:20:33.962,7.6399,4.0941,4.6543,98,False,0
2023-10-03 15:20:34.126,7.6519,3.4046,4.1994,98,False,0
2023-10-03 15:20:34.285,8.2265,3.1388,3.9672,98,False,0
2023-10-03 15:20:34.456,8.181,2.4852,4.1372,98,False,0
2023-10-03 15:20:34.600,8.4013,2.7629,3.7565,98,False,0
2023-10-03 15:20:34.765,8.6215,3.2705,4.5203,98,False,0
2023-10-03 15:20:34.924,8.2696,2.8754,3.802,98,False,0
2023-10-03 15:20:35.085,8.3989,2.806,3.9624,98,False,0
2023-10-03 15:20:35.246,8.2001,2.648,4.1444,98,False,0
2023-10-03 15:20:35.405,8.3558,2.4828,4.1468,98,False,0
2023-10-03 15:20:35.565,8.7364,3.5698,3.9624,98,False,0
2023-10-03 15:20:35.726,8.2049,2.2075,4.1899,98,False,0
2023-10-03 15:20:35.905,8.7364,2.3487,4.1492,98,False,0
2023-10-03 15:20:36.055,8.7364,2.8132,4.0247,98,False,0
2023-10-03 15:20:36.205,8.0828,3.1987,4.2138,98,False,0
2023-10-03 15:20:36.366,8.2456,2.988,4.4149,98,False,0
2023-10-03 15:20:36.526,7.2353,3.6799,5.4923,98,False,0
2023-10-03 15:20:36.688,6.359,4.5777,5.5522,98,False,0
2023-10-03 15:20:36.848,4.6567,7.2999,4.7573,98,False,0
2023-10-03 15:20:37.007,4.2425,6.8642,1.4126,98,False,0
2023-10-03 15:20:37.168,5.7604,7.6878,-1.5802,98,False,0
2023-10-03 15:20:37.328,7.2712,3.6368,-7.8721,98,False,0
2023-10-03 15:20:37.488,8.7245,1.6233,-6.6726,98,False,0
2023-10-03 15:20:37.649,7.8099,-0.0694,-7.1275,98,False,0
2023-10-03 15:20:37.809,5.861,-1.4317,-8.169,98,False,0
2023-10-03 15:20:37.969,6.3518,-1.3575,-8.8226,98,False,0
2023-10-03 15:20:38.130,5.5186,-1.063,-8.1475,98,False,0
2023-10-03 15:20:38.290,5.8993,-1.1253,-7.7093,98,False,0
2023-10-03 15:20:38.450,5.5785,-1.1109,-7.7596,98,False,0
2023-10-03 15:20:38.611,5.7293,-1.2857,-8.1906,98,False,0
2023-10-03 15:20:38.766,5.296,-1.6783,-8.2863,98,False,0
2023-10-03 15:20:38.931,3.9145,-1.3168,-8.157,98,False,0
2023-10-03 15:20:39.093,4.6471,-1.5179,-9.1339,98,False,0
2023-10-03 15:20:39.252,4.3024,-2.4469,-9.7875,98,False,0
2023-10-03 15:20:40.130,4.1611,-3.1029,-9.0956,98,False,0
2023-10-03 15:20:40.150,2.9401,4.4269,-6.2513,98,False,0
2023-10-03 15:20:40.228,4.0318,5.1667,-7.434,98,False,0
2023-10-03 15:20:40.376,2.9353,5.1667,-9.6247,98,False,0
2023-10-03 15:20:40.537,2.6408,3.4165,-8.6239,98,False,0
2023-10-03 15:20:40.696,3.1268,2.9521,-8.8107,98,False,0
2023-10-03 15:20:40.858,2.0399,2.4948,-9.1028,98,False,0
2023-10-03 15:20:41.018,1.0319,2.2242,-9.6462,98,False,0
2023-10-03 15:20:41.184,1.4533,2.0853,-10.4028,98,False,0
2023-10-03 15:20:41.343,1.4126,1.0918,-10.1825,98,False,0
2023-10-03 15:20:41.505,2.15,0.5004,-10.0556,98,False,0
2023-10-03 15:20:41.664,1.4413,0.0838,-9.4786,98,False,0
2023-10-03 15:20:41.823,1.2953,-0.9098,-9.4619,98,False,0
2023-10-03 15:20:41.986,1.1995,-1.6951,-9.8809,98,False,0
2023-10-03 15:20:42.144,0.8978,-2.2984,-9.8043,98,False,0
2023-10-03 15:20:42.304,1.4509,-2.0231,-10.0652,98,False,0
2023-10-03 15:20:42.467,1.7358,-3.474,-10.1514,98,False,0
2023-10-03 15:20:42.625,0.972,1.9178,-9.7205,98,False,0
2023-10-03 15:20:42.785,0.8739,3.8547,-9.7564,98,False,0
2023-10-03 15:20:42.946,2.8204,3.7373,-10.6805,98,False,0
2023-10-03 15:20:43.104,2.0303,5.2481,-7.6016,98,False,0
2023-10-03 15:20:43.267,1.3527,3.3088,-8.3797,98,False,0
2023-10-03 15:20:43.427,1.2378,0.7063,-11.2719,98,False,0
2023-10-03 15:20:43.586,0.8188,-2.9616,-11.1067,98,False,0
2023-10-03 15:20:43.746,0.905,-3.122,-9.9742,98,False,0
2023-10-03 15:20:43.907,0.8547,-2.2314,-9.9072,98,False,0
2023-10-03 15:20:44.068,0.1844,-0.1149,-9.9503,98,False,0
2023-10-03 15:20:44.227,0.6201,1.1468,-10.2831,98,False,0
2023-10-03 15:20:44.388,0.589,1.7741,-9.165,98,False,0
2023-10-03 15:20:44.547,0.5291,0.6584,-10.2927,98,False,0
2023-10-03 15:20:44.708,0.2179,-0.5962,-9.8067,98,False,0
2023-10-03 15:20:44.869,0.3998,0.2346,-10.1897,98,False,0
2023-10-03 15:20:45.028,0.6081,0.814,-9.7205,98,False,0
2023-10-03 15:20:45.188,0.3639,0.9792,-9.8976,98,False,0
2023-10-03 15:20:45.351,0.6345,0.1173,-9.9311,98,False,0
2023-10-03 15:20:45.508,0.7015,-0.091,-9.9838,98,False,0
2023-10-03 15:20:45.670,0.5004,0.2658,-10.0245,98,False,0
2023-10-03 15:20:45.831,0.68,0.4405,-10.0006,98,False,0
2023-10-03 15:20:45.990,0.7661,0.5674,-10.0987,98,False,0
2023-10-03 15:20:46.150,0.5411,0.2753,-9.9335,98,False,0
2023-10-03 15:20:46.309,0.6728,0.7877,-10.5536,98,False,0
2023-10-03 15:20:46.472,0.9242,0.17,-10.5489,98,False,0
2023-10-03 15:20:46.630,0.9529,-0.9218,-10.2807,98,False,0
2023-10-03 15:20:46.791,1.4246,-2.2027,-9.5696,98,False,0
2023-10-03 15:20:46.951,2.32,-1.6975,-10.8457,98,False,0
2023-10-03 15:20:47.111,2.9521,-0.2179,-12.967,98,False,0
2023-10-03 15:20:47.267,1.7957,2.3152,-15.7155,98,False,0
2023-10-03 15:20:47.425,-2.0087,0.5124,-4.8411,98,False,0
2023-10-03 15:20:47.586,2.5953,-4.5657,9.4068,98,False,0
2023-10-03 15:20:47.747,1.822,-9.1028,7.2903,98,False,0
2023-10-03 15:20:47.910,-1.5706,-9.2871,4.8961,98,False,0
2023-10-03 15:20:54.300,-2.6911,-8.2983,-5.1643,98,False,0
2023-10-03 15:20:54.340,-2.5474,-8.2145,-5.5689,98,False,0
2023-10-03 15:20:54.506,-2.3966,-7.8985,-5.5857,98,False,0
2023-10-03 15:20:54.667,-2.296,-8.0278,-5.6671,98,False,0
2023-10-03 15:20:54.824,-2.3152,-8.0828,-4.9895,98,False,0
2023-10-03 15:21:07.064,-2.7318,-8.8011,-3.6919,98,False,0
2023-10-03 15:21:07.070,-2.7198,-8.8178,-3.8331,98,False,0
2023-10-03 15:21:07.290,-2.7294,-8.7747,-3.79,98,False,0
2023-10-03 15:21:07.383,-2.8156,-8.8226,-3.8595,98,False,0
2023-10-03 15:21:07.672,-2.7557,-8.655,-4.2856,98,False,0
2023-10-03 15:21:07.733,-2.6839,-8.6766,-4.3024,98,False,0
2023-10-03 15:21:07.867,-2.8347,-8.5425,-3.8188,98,False,0
2023-10-03 15:21:08.029,-2.8994,-7.7907,-5.8993,98,False,0
2023-10-03 15:21:08.190,-2.8778,-7.8362,-6.1292,98,False,0
2023-10-03 15:21:08.350,-2.8802,-7.3454,-5.9209,98,False,0
2023-10-03 15:21:08.511,-2.9018,-7.5896,-5.7437,98,False,0
2023-10-03 15:21:08.671,-2.8467,-7.592,-5.8419,98,False,0
2023-10-03 15:21:08.830,-2.8108,-7.7189,-5.8179,98,False,0
2023-10-03 15:21:08.992,-2.8276,-7.6734,-5.7078,98,False,0
2023-10-03 15:21:09.150,-2.794,-7.6351,-5.7916,98,False,0
2023-10-03 15:21:09.311,-2.818,-7.7333,-5.7604,98,False,0
2023-10-03 15:21:09.472,-2.8419,-7.6327,-5.8179,98,False,0
2023-10-03 15:21:09.631,-2.8994,-7.6758,-5.715,98,False,0
2023-10-03 15:21:09.792,-2.909,-7.7261,-5.7916,98,False,0
2023-10-03 15:21:09.952,-2.8299,-7.604,-5.8442,98,False,0
2023-10-03 15:21:10.112,-2.8898,-7.6375,-5.7341,98,False,0
2023-10-03 15:21:10.272,-2.8635,-7.7093,-5.7509,98,False,0
2023-10-03 15:21:10.433,-2.8778,-7.7069,-5.7844,98,False,0
2023-10-03 15:21:10.592,-2.873,-7.7189,-5.7197,98,False,0
2023-10-03 15:21:10.753,-2.806,-7.6782,-5.7892,98,False,0
2023-10-03 15:21:10.914,-2.9042,-7.683,-5.7676,98,False,0
2023-10-03 15:21:11.073,-2.873,-7.6567,-5.7988,98,False,0
2023-10-03 15:21:11.233,-2.8635,-7.7261,-5.7988,98,False,0
2023-10-03 15:21:11.395,-2.818,-7.829,-5.691,98,False,0
2023-10-03 15:21:11.554,-2.8515,-7.841,-5.6431,98,False,0
2023-10-03 15:21:11.713,-2.5738,-7.6184,-4.142,98,False,0
2023-10-03 15:21:11.875,-2.7892,-8.825,-3.3639,98,False,0
2023-10-03 15:21:12.034,-2.6025,-9.3182,-3.3399,98,False,0
2023-10-03 15:21:12.195,-2.8874,-9.0142,-2.8228,98,False,0
2023-10-03 15:21:12.356,-2.8299,-9.1411,-2.9951,98,False,0
2023-10-03 15:21:12.513,-2.8012,-8.9304,-3.225,98,False,0
2023-10-03 15:21:15.399,-3.0167,-8.9854,-3.3495,98,False,0
2023-10-03 15:21:15.408,-2.7174,-8.6407,-4.3024,98,False,0
2023-10-03 15:21:15.414,-2.7318,-8.6143,-4.2593,98,False,0
2023-10-03 15:21:15.572,-2.8395,-8.758,-4.3598,98,False,0
2023-10-03 15:21:15.733,-2.7605,-8.4348,-4.3622,98,False,0
2023-10-03 15:21:15.892,-2.818,-8.5138,-4.2497,98,False,0
2023-10-03 15:21:41.001,-2.9544,-7.7189,-5.8395,98,False,0
2023-10-03 15:21:41.013,-2.8826,-7.6447,-5.8682,98,False,0
2023-10-03 15:21:41.159,-2.8898,-7.7357,-5.7748,98,False,0
2023-10-03 15:21:41.324,-2.964,-7.5992,-5.7197,98,False,0
2023-10-03 15:21:41.487,-2.9808,-7.7405,-5.782,98,False,0
2023-10-03 15:21:41.638,-2.909,-7.6423,-5.7485,98,False,0
2023-10-03 15:21:41.805,-2.9377,-7.7907,-5.6647,98,False,0
2023-10-03 15:21:41.965,-2.9018,-7.501,-5.4109,98,False,0
2023-10-03 15:21:44.579,-2.6839,-8.5353,-4.6064,98,False,0
2023-10-03 15:21:44.699,-3.0454,-7.7859,-5.4971,98,False,0
2023-10-03 15:21:44.862,-2.9592,-7.8721,-5.5019,98,False,0
2023-10-03 15:21:45.021,-3.055,-7.8602,-5.5234,98,False,0
2023-10-03 15:22:04.040,-2.9928,-7.8386,-5.4444,98,False,0
2023-10-03 15:22:04.047,-3.1244,-7.944,-5.2385,98,False,0
2023-10-03 15:22:04.068,-3.1244,-7.8338,-5.2098,98,False,0
2023-10-03 15:22:04.176,-3.146,-7.9799,-5.2002,98,False,0
2023-10-03 15:22:04.342,-3.1173,-7.9559,-5.2194,98,False,0
2023-10-03 15:22:04.504,-3.134,-8.0445,-5.1523,98,False,0
2023-10-03 15:22:25.544,-3.1436,-7.9607,-5.1547,98,False,0
2023-10-03 15:22:25.563,-3.1699,-7.9727,-5.1236,98,False,0
2023-10-03 15:22:25.587,-3.2058,-7.9679,-5.1715,98,False,0
2023-10-03 15:22:25.745,-3.1556,-8.0206,-5.1715,98,False,0
2023-10-03 15:22:25.910,-3.213,-8.0254,-5.1284,98,False,0
2023-10-03 15:22:26.066,-3.158,-8.0134,-5.1308,98,False,0
2023-10-03 15:22:45.527,-3.2298,-8.0828,-5.047,98,False,0
2023-10-03 15:22:45.547,-3.146,-8.011,-5.0446,98,False,0
2023-10-03 15:22:45.706,-3.1747,-8.0206,-5.0781,98,False,0
2023-10-03 15:22:45.873,-3.2106,-8.0469,-5.1332,98,False,0
2023-10-03 15:22:46.031,-3.2633,-7.9487,-4.9177,98,False,0
2023-10-03 15:23:14.700,-2.9497,-6.2465,3.802,98,False,0
2023-10-03 15:23:14.735,-3.7302,-7.2712,4.1204,98,False,0
2023-10-03 15:23:14.851,-3.7637,-8.6838,2.4181,98,False,0
2023-10-03 15:23:15.017,-7.5561,-11.1019,-0.182,98,False,0
2023-10-03 15:23:15.178,-9.4978,-7.7165,-0.2346,98,False,0
2023-10-03 15:23:49.255,-13.6206,-2.2505,-0.4357,98,False,0
2023-10-03 15:23:49.280,0.5914,1.0367,8.3582,98,False,0
2023-10-03 15:23:49.311,1.3695,2.4565,9.1578,98,False,0
2023-10-03 15:23:49.548,0.9457,3.0598,8.8585,98,False,0
2023-10-03 15:23:49.632,-0.3926,1.9776,9.6917,98,False,0
2023-10-03 15:23:49.787,-0.3376,2.6983,9.7875,98,False,0
2023-10-03 15:23:49.948,-0.7997,1.0965,10.149,98,False,0
2023-10-03 15:23:50.111,-1.2713,0.3926,9.3877,98,False,0
2023-10-03 15:23:50.273,-0.5555,1.4341,9.0932,98,False,0
2023-10-03 15:23:50.433,-0.7518,0.2921,9.8809,98,False,0
2023-10-03 15:23:50.592,-1.9728,0.7087,11.0828,98,False,0
2023-10-03 15:23:50.755,-0.7254,0.8092,8.6694,98,False,0
2023-10-03 15:23:50.914,-0.4741,0.1173,9.4451,98,False,0
2023-10-03 15:23:51.070,-0.9218,1.2713,9.2201,98,False,0
2023-10-03 15:23:51.230,-1.0606,0.5602,8.8346,98,False,0
2023-10-03 15:23:51.394,-2.071,1.2929,8.327,98,False,0
2023-10-03 15:23:51.555,-4.5011,-0.3926,3.1101,98,False,0
2023-10-03 15:23:51.716,-12.0644,-12.5289,-7.4316,98,False,0
2023-10-03 15:23:51.874,-12.4498,-12.0524,-4.9177,98,False,0
2023-10-03 15:23:52.036,-8.157,-4.786,5.7174,98,False,0
2023-10-03 15:23:52.197,-10.5441,-12.6845,-1.7909,98,False,0
2023-10-03 15:23:52.356,-2.8228,-10.7141,-7.197,98,False,0
2023-10-03 15:23:52.511,-0.34,-6.2728,-6.2944,98,False,0
2023-10-03 15:23:52.679,-2.3224,-3.8858,-9.5385,98,False,0
2023-10-03 15:23:52.830,-5.5976,-5.1858,-2.9592,98,False,0
2023-10-03 15:23:52.996,-3.7206,-6.2537,-6.8235,98,False,0
2023-10-03 15:23:54.889,-6.5505,-8.9495,-8.0852,98,False,0
2023-10-03 15:23:54.916,1.9513,9.6606,0.328,98,False,0
2023-10-03 15:23:54.965,8.3342,2.9808,4.4029,98,False,0
2023-10-03 15:23:55.114,9.0884,7.1491,4.6711,98,False,0
2023-10-03 15:23:55.237,-0.2346,7.0916,3.1651,98,False,0
2023-10-03 15:23:55.397,0.5794,-2.0063,6.3901,98,False,0
2023-10-03 15:23:55.562,5.5306,-11.5688,12.1194,98,False,0
2023-10-03 15:23:55.722,7.6016,-17.9086,9.1051,98,False,0
2023-10-03 15:23:55.884,-0.1389,-1.3647,5.7341,98,False,0
2023-10-03 15:23:56.045,6.4404,-2.217,1.1995,98,False,0
2023-10-03 15:23:56.204,10.9343,-13.362,5.3606,98,False,0
2023-10-03 15:23:56.367,1.5203,0.103,1.7262,98,False,0
2023-10-03 15:23:56.524,5.4181,-14.4203,0.6919,98,False,0
2023-10-03 15:23:56.685,5.3822,-12.4882,-3.122,98,False,0
2023-10-03 15:23:56.846,4.8076,-9.1937,-3.6033,98,False,0
2023-10-03 15:23:57.006,1.1756,-9.414,-2.9904,98,False,0
2023-10-03 15:23:57.164,-1.64,-4.458,-0.7901,98,False,0
2023-10-03 15:23:57.320,-11.9423,-16.2901,-4.0438,98,False,0
2023-10-03 15:23:57.481,-5.2672,-10.137,-0.1987,98,False,0
2023-10-03 15:23:57.644,-8.0206,-5.9089,-2.1668,98,False,0
2023-10-03 15:23:57.805,-9.2081,-2.7078,-0.6105,98,False,0
2023-10-03 15:23:59.650,-6.2249,-2.7485,-4.3503,98,False,0
2023-10-03 15:23:59.731,-7.7333,-3.1819,-6.5386,98,False,0
2023-10-03 15:23:59.898,-7.2449,-2.9664,-0.1963,98,False,0
2023-10-03 15:24:00.057,-8.8681,-5.8682,-0.0431,98,False,0
2023-10-03 15:24:00.271,-9.2296,-7.4627,-0.7997,98,False,0
2023-10-03 15:24:00.375,-4.9919,-9.335,-1.8052,98,False,0
2023-10-03 15:24:00.538,-4.5873,-3.45,-3.0957,98,False,0
2023-10-03 15:24:00.698,-7.3071,-8.6718,-4.7429,98,False,0
2023-10-03 15:24:03.849,-8.4228,-5.2984,-3.8451,98,False,0
2023-10-03 15:24:03.858,-10.5441,-7.9128,-1.1827,98,False,0
2023-10-03 15:24:03.914,-7.5393,-6.3183,-2.9497,98,False,0
2023-10-03 15:24:04.079,-3.5602,-4.7285,-1.8364,98,False,0
2023-10-03 15:24:04.242,-7.7428,-8.2672,-1.5658,98,False,0
2023-10-03 15:24:15.623,-4.798,-8.8322,-1.4988,98,False,0
2023-10-03 15:24:15.630,-9.8019,-3.2753,-0.1939,98,False,0
2023-10-03 15:24:15.662,-10.9271,-3.4333,0.0072,98,False,0
2023-10-03 15:24:15.829,-8.9783,-3.4357,0.996,98,False,0
2023-10-03 15:24:15.987,-9.4882,-2.4181,0.7278,98,False,0
2023-10-03 15:24:16.144,-10.3238,-2.0734,0.3974,98,False,0
2023-10-03 15:24:16.304,-7.908,-2.1261,0.2251,98,False,0
2023-10-03 15:24:16.469,-8.7724,-2.818,0.68,98,False,0
2023-10-03 15:24:16.628,-9.9814,-3.0933,0.8116,98,False,0
2023-10-03 15:24:16.789,-9.426,-3.1173,0.3472,98,False,0
